IP,Date,Time,Accepted-cookies,Device type,Browser anguage,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-06-10,11:24:47 UTC,necessary,desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
114.10.115.124,2025-08-12,18:01:00 UTC,necessary,desktop,en,Chrome,Windows,Indonesia,JK,Jakarta,Ancol,14430,-6.1142,106.8619
2404:c0:5c20::4e66:7b70,2025-08-13,04:37:55 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JK,Jakarta,Jakarta,12850,-6.2208,106.8403
103.186.60.186,2025-08-13,04:54:35 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JI,East Java,Tambaksumber,,-8.1041,111.952
2400:9800:323:f2bc:f10c:96f2:e3d7:5848,2025-08-13,10:00:55 UTC,necessary,desktop,en,Edge,Windows,Indonesia,JB,West Java,Bogor,16810,-6.708,106.8304
2404:c0:5c60::2442:2bf5,2025-08-13,10:02:21 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JK,Jakarta,Jakarta,12850,-6.2208,106.8403
182.3.44.214,2025-08-13,14:59:58 UTC,necessary,tablet,id,Huawei Browser,Harmony OS,Indonesia,JK,Jakarta,Jakarta,12830,-6.2369,106.853
2404:c0:8614:f4ba::1,2025-08-14,00:56:43 UTC,necessary,mobile,id,Chrome,Android,Indonesia,KB,West Kalimantan,Pontianak,78111,-0.031,109.3257
180.249.253.146,2025-08-14,01:08:36 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JK,Jakarta,Jakarta,,-6.18104,106.826
139.194.47.12,2025-08-16,00:29:20 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JK,Jakarta,Jakarta,10220,-6.2035,106.8139
182.2.164.76,2025-08-16,04:26:45 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JK,Jakarta,Jakarta,10330,-6.1898,106.8415
114.10.42.82,2025-08-18,03:03:45 UTC,necessary,desktop,id,Chrome,Linux,Indonesia,JK,Jakarta,Ancol,14430,-6.1142,106.8619
114.10.42.82,2025-08-18,03:03:49 UTC,necessary,mobile,id,Chrome,Android,Indonesia,JK,Jakarta,Ancol,14430,-6.1142,106.8619
114.10.42.24,2025-08-19,02:44:28 UTC,necessary,desktop,en,Chrome,Windows,Indonesia,JK,Jakarta,Ancol,14430,-6.1142,106.8619
2404:c0:2020::d76:dcb3,2025-08-20,14:21:38 UTC,necessary,desktop,en,Chrome,Windows,Indonesia,JK,Jakarta,Jakarta,12860,-6.2114,106.8446
